,Class
155143,1
211677,1
89961,0
159952,1
56707,0
78935,0
14965,0
19779,0
205511,1
60672,0
18118,0
180568,1
39739,0
176317,1
161269,1
80158,1
179090,1
11489,0
18845,0
6091,0
197503,1
46719,0
11608,0
197086,1
213010,1
27226,0
76936,0
118143,1
21988,0
115075,0
147409,1
104285,0
191733,1
104350,1
144000,1
174727,1
88798,0
140116,1
107172,0
3198,0
157812,1
38482,0
212201,1
34705,0
124620,1
114234,0
38965,0
54204,0
106909,0
123624,1
165401,1
183128,1
110372,0
150560,1
191878,1
51061,0
6106,1
200665,1
9631,0
209741,1
6439,0
10120,0
548,0
19255,0
128548,1
128029,1
145397,1
46937,0
66684,1
148437,1
97306,0
34188,0
3142,0
145730,1
41701,0
60686,0
197800,1
107874,0
160180,1
69337,0
72496,0
186385,1
199610,1
200230,1
48976,1
159780,1
113467,0
196772,1
26369,0
34182,0
55734,0
125454,1
53645,0
141623,1
183092,1
28489,0
64655,0
85159,0
128648,1
26871,0
158558,1
19591,0
209708,1
207494,1
52416,0
116316,0
136370,1
152457,1
58602,1
113991,0
197,0
45158,0
208851,1
99876,0
57503,0
46717,0
158760,1
74195,0
167852,1
205785,1
137486,1
92498,0
209627,1
201618,1
213176,1
73692,0
120488,1
136160,1
201826,1
202201,1
8055,0
115027,0
156338,1
26945,0
51640,0
36521,0
52013,0
207602,1
167204,1
125347,1
83627,0
86334,0
145159,1
82510,0
113401,0
126447,1
189749,1
105375,0
107109,0
163343,1
86381,0
55028,0
49288,0
55064,0
101866,0
193845,1
30319,0
95329,0
148753,1
52537,0
153276,1
209429,1
81830,0
33744,0
109201,0
135474,1
140253,1
97121,0
159019,1
45189,0
192599,1
2964,0
7061,0
42360,0
22670,0
154078,1
42197,0
185036,1
171118,1
33296,0
140584,1
203643,1
5226,0
193777,1
100379,0
103564,0
63384,1
6653,0
48860,0
71167,0
71534,0
21201,0
182959,1
77439,0
11830,0
40980,1
149664,1
77782,0
210847,1
60858,0
70973,0
154287,1
91955,0
170445,1
58948,1
72993,0
136280,1
132438,1
110381,0
156146,1
95612,1
176363,1
169646,1
70960,0
203695,1
33503,0
196653,1
34118,0
54171,0
180203,1
354,0
165234,1
57910,1
143964,1
183867,1
153051,1
116790,0
142375,1
17530,0
131566,1
44644,0
17233,0
16300,0
133912,1
32231,0
54231,0
44856,0
105089,0
162802,1
33863,0
191718,1
119521,1
159208,1
121287,1
31112,0
52767,0
190110,1
118796,1
58069,0
29216,0
101344,0
178921,1
15239,0
75207,0
127632,1
100385,0
80160,1
190405,1
59342,0
116541,0
182001,1
106151,0
176618,1
174233,1
94466,0
193919,1
77966,0
164920,1
192569,1
133690,1
154157,1
142640,1
2769,0
116540,0
54289,0
202107,1
83582,0
68950,0
185241,1
147286,1
193784,1
43431,0
25833,0
197425,1
96389,1
66142,0
190700,1
68873,0
117027,0
108202,0
68048,0
110322,0
189354,1
111951,0
207219,1
170147,1
36755,0
107863,0
154215,1
153467,1
189036,1
136165,1
196254,1
124950,1
155845,1
103310,0
66363,0
19094,0
199965,1
12936,0
18723,0
142716,1
106317,1
207996,1
160447,1
59643,0
117319,0
194061,1
88391,0
66041,0
51311,0
110222,1
10560,0
106220,0
133245,1
14067,0
103636,0
152528,1
92608,0
142685,1
202767,1
170879,1
41908,1
165629,1
113885,0
205642,1
145965,1
106737,1
207626,1
194031,1
32565,0
149300,1
46677,0
10169,0
63563,0
93436,0
88315,0
172173,1
49629,0
6409,0
174779,1
58815,0
6262,0
82198,0
175623,1
109610,0
153153,1
141397,1
90757,0
53261,0
80606,0
170425,1
116842,0
58007,0
110638,1
196747,1
101760,0
197084,1
74355,0
16113,0
68719,0
82214,0
115309,0
180319,1
67332,0
157436,1
62709,0
29176,0
112120,0
204776,1
76458,1
20569,0
4151,0
173905,1
8751,0
96251,0
1597,1
21260,0
29188,0
85974,0
187552,1
2321,0
57294,0
162303,1
135768,1
78124,0
122962,1
19437,0
15837,0
159190,1
183932,1
61408,0
112506,0
139572,1
95577,0
188412,1
92164,0
100317,0
145000,1
95777,0
62466,0
165032,1
94424,0
116139,0
81137,0
144591,1
106349,0
151750,1
173866,1
207899,1
45327,0
95724,0
5038,0
30878,0
212696,1
64966,0
130796,1
161229,1
152389,1
59920,0
122086,1
168780,1
96753,0
204142,1
169434,1
18221,0
45233,0
69336,0
78717,0
202473,1
121788,1
203645,1
50634,0
75979,0
22257,0
200214,1
59490,0
109006,0
188436,1
41191,0
155922,1
149371,1
155894,1
123530,1
44589,0
170775,1
3807,0
33109,0
107016,0
211386,1
153855,1
84072,0
52508,0
128728,1
36651,0
10570,0
83881,0
42102,0
178678,1
107681,0
21928,1
48395,0
177186,1
74926,0
78607,0
137569,1
128181,1
153204,1
164115,1
47840,0
195355,1
117536,0
128045,1
120096,1
206626,1
175741,1
205725,1
131196,1
180711,1
206747,1
16207,0
63009,0
90403,1
20433,0
126651,1
165932,1
65255,0
2717,0
209132,1
153798,1
184207,1
76070,1
55291,0
127961,1
49439,0
80053,0
201,0
103590,0
132950,1
58155,0
152084,1
138423,1
24889,0
121114,1
103344,0
23733,0
108984,0
167480,1
166103,1
23582,0
120110,1
105877,0
95410,0
115299,0
199602,1
76826,0
156084,1
38266,0
179737,1
58924,0
17424,0
10330,0
131621,1
66055,0
141133,1
2483,0
94651,0
39944,1
135293,1
39048,1
14035,1
201931,1
8836,0
95154,0
194598,1
192444,1
75296,0
119389,1
32587,0
8603,0
209115,1
60166,0
74042,0
31504,0
126224,1
113090,0
88608,0
65111,0
60671,0
44093,0
174900,1
150546,1
12787,0
101260,0
90934,1
45931,0
48979,0
155246,1
156227,1
172888,1
123639,1
33633,0
16048,0
68561,0
97242,0
45426,1
76346,0
198806,1
6096,0
142584,1
69870,0
52438,0
167318,1
71159,0
165248,1
206724,1
197429,1
115624,0
27084,0
65538,0
159539,1
125319,1
135034,1
61203,0
178505,1
156797,1
61484,0
35302,0
132564,1
169698,1
199729,1
139919,1
197291,1
190826,1
206006,1
118895,1
107641,0
185886,1
124219,1
196751,1
94419,0
160295,1
181658,1
132115,1
196107,1
12320,0
172900,1
212069,1
90247,0
143479,1
206504,1
159428,1
66344,1
110066,0
17518,0
137550,1
201380,1
205718,1
118603,1
84735,0
14029,0
43630,0
93698,0
18739,0
134785,1
158633,1
151440,1
5832,1
173404,1
61675,0
48455,0
119866,1
17988,1
118152,1
77103,0
174327,1
2987,0
98062,0
169536,1
101669,0
138658,1
135798,1
62818,0
68270,0
76138,0
192709,1
10413,0
50252,0
21003,0
46533,0
77493,0
70139,0
203027,1
23783,0
50001,0
10026,0
158523,1
20066,1
20235,0
65787,0
154255,1
172639,1
207022,1
51148,0
17109,0
105732,0
193272,1
23583,0
7185,0
103531,0
149738,1
195294,1
180932,1
78500,1
129492,1
47162,0
111591,1
143559,1
60938,1
199452,1
39120,0
24758,0
153159,1
81928,0
23850,0
137730,1
139457,1
61672,0
47784,0
17033,0
7969,0
57935,1
169758,1
88630,0
164929,1
95436,0
72533,0
111570,0
53464,0
158235,1
27899,0
67413,0
175652,1
34770,0
88889,0
112281,1
113081,0
163733,1
202791,1
120604,1
129059,1
144484,1
144769,1
146224,1
50234,0
140535,1
127802,1
21808,0
171441,1
147911,1
7327,0
172533,1
76109,0
96995,0
71487,0
61567,0
11554,0
183607,1
51619,0
85900,0
137258,1
113412,0
120271,1
192697,1
105797,0
123849,1
65447,0
64497,0
184281,1
200518,1
26415,0
10245,0
106904,0
122249,1
121374,1
157039,1
164825,1
5851,0
10808,0
163872,1
450,0
143105,1
87711,0
99429,0
176490,1
76062,0
112983,0
124071,1
65010,0
50586,1
121031,1
46621,0
202499,1
119408,1
162447,1
29253,0
140567,1
52912,0
109244,0
207686,1
85101,1
148417,1
91188,0
80487,0
71902,0
197869,1
176917,1
56966,0
75970,0
22477,0
129058,1
22543,0
115959,1
105196,0
132699,1
61650,0
188434,1
130609,1
119763,1
151867,1
54577,1
57576,0
47143,0
199133,1
83068,0
151809,1
98221,0
209289,1
138770,1
208669,1
20170,0
112790,0
123523,1
170684,1
10958,0
195088,1
17086,0
181633,1
142966,1
155737,1
184425,1
183803,1
151238,1
25077,0
49636,0
191391,1
35313,0
131748,1
27273,0
90465,0
19756,0
14255,1
48246,1
175108,1
146755,1
24807,0
181520,1
11868,0
117071,0
149965,1
2803,0
36343,0
76494,0
99635,0
164601,1
47559,0
106051,0
160883,1
76822,0
194022,1
97061,0
74250,0
89481,0
209622,1
58690,1
168738,1
188189,1
51211,1
107921,0
195456,1
85013,0
194255,1
188162,1
134238,1
145413,1
52197,0
182937,1
77862,0
177391,1
131953,1
32301,0
174767,1
67353,0
32242,0
87478,0
100518,0
14050,1
131187,1
190223,1
75107,0
83603,0
200642,1
68695,0
67823,0
102706,0
136177,1
165900,1
61577,0
189341,1
169996,1
203513,1
163352,1
19216,0
51300,0
56084,0
16730,0
70101,0
54508,1
180051,1
157676,1
137091,1
60893,0
157335,1
31769,0
152862,1
114512,1
188202,1
149529,1
157635,1
61837,0
30675,0
75345,0
63357,0
96434,0
72341,0
1373,0
52817,0
126112,1
70457,0
97559,0
135123,1
120790,1
88711,1
106451,0
135518,1
134628,1
25724,0
146133,1
148509,1
160067,1
192723,1
130693,1
160055,1
153482,1
73589,0
42312,0
60402,0
41791,0
142603,1
4594,0
183869,1
156607,1
78718,1
203371,1
114292,0
119354,1
29787,0
90219,0
198046,1
44771,0
121768,1
145356,1
147694,1
86236,0
49863,0
205104,1
19527,0
173516,1
165358,1
114283,0
60375,0
60507,0
36796,0
31851,0
105770,0
43537,0
89296,0
80371,0
145018,1
7052,1
150293,1
70882,0
185927,1
106509,0
43866,0
126864,1
41211,0
32494,0
20362,0
14796,0
194056,1
111026,0
204898,1
55494,0
157152,1
135457,1
61654,0
128780,1
119557,1
123258,1
162201,1
67164,0
153988,1
90831,0
170737,1
63152,0
34463,0
156053,1
21273,0
27401,0
53356,0
94585,0
175078,1
129920,1
63393,0
86139,0
200221,1
60761,0
168668,1
79809,1
183118,1
66293,0
201043,1
67373,1
208670,1
60827,0
92605,0
28083,0
165948,1
39703,0
155787,1
174643,1
110221,1
189255,1
11616,0
116090,0
74750,0
165180,1
152119,1
53340,1
72253,0
119249,1
196181,1
211401,1
56340,0
105207,0
65254,0
54642,0
189083,1
91705,0
34419,0
153585,1
9733,0
126809,1
137744,1
116188,0
106321,0
79319,0
190539,1
54167,0
165063,1
117041,0
51064,0
19396,1
193742,1
197688,1
94823,0
134548,1
181582,1
36211,0
91981,0
126672,1
168569,1
48986,0
96107,0
173963,1
56099,0
122411,1
53497,0
17834,0
14371,0
106056,0
137680,1
120415,1
98463,0
178421,1
59583,0
146119,1
167700,1
151406,1
69027,0
173984,1
62664,0
204751,1
149547,1
90099,0
59641,0
129761,1
108637,0
119881,1
156901,1
34315,0
22110,0
52093,0
148738,1
188318,1
36430,0
117682,1
27071,0
95682,0
50725,0
42333,0
96034,1
181241,1
56266,0
4845,0
17240,0
194375,1
44672,0
126858,1
135252,1
191053,1
197875,1
77691,0
137437,1
184807,1
203953,1
201575,1
59440,1
92829,0
87204,0
174148,1
77397,0
17691,0
25459,0
115987,0
35188,0
142146,1
184453,1
208986,1
82324,1
135098,1
144265,1
141015,1
70635,0
103959,1
165478,1
130525,1
190132,1
31253,0
120866,1
133996,1
99153,0
211190,1
142627,1
108086,0
37838,0
11194,0
67457,0
62609,0
172734,1
83412,0
177068,1
933,0
33638,1
135151,1
201249,1
205957,1
107316,1
58555,0
91887,0
189589,1
34217,1
65890,0
106636,0
111619,0
209665,1
30827,0
176352,1
163040,1
30739,0
66010,0
100940,0
74643,0
201261,1
3210,0
165811,1
47713,0
125432,1
154990,1
48065,0
200393,1
211063,1
9830,0
164673,1
117135,0
72378,0
195652,1
113833,0
69904,0
199329,1
116462,0
9908,0
57605,0
33266,0
133845,1
139967,1
162081,1
102804,0
178620,1
134125,1
46468,0
148415,1
128448,1
29468,0
72289,0
11328,0
99808,0
7932,0
169844,1
100504,0
154358,1
48820,0
50900,0
91743,0
42230,0
53015,0
6906,0
205935,1
141176,1
110792,0
105404,0
114789,0
206968,1
128930,1
179330,1
105980,0
142758,1
62825,0
100252,0
79268,0
167482,1
33883,0
96978,0
50885,0
114244,0
81111,0
48752,0
112023,0
182657,1
11013,0
109064,0
34277,0
97913,1
181540,1
29065,0
42449,0
210188,1
70015,0
131881,1
35387,0
52751,0
37753,0
151498,1
76415,0
122446,1
5106,0
61809,0
73408,0
28561,0
198766,1
55163,0
86232,0
51504,0
77998,0
145270,1
63097,1
114631,0
167074,1
34679,0
107860,0
8166,0
102414,0
59352,0
128917,1
109853,0
31395,0
129165,1
75017,0
131338,1
80103,0
30520,0
189165,1
164803,1
78670,0
32213,0
138327,1
129853,1
95922,0
52099,0
49867,0
50718,0
55771,0
3798,0
176418,1
183322,1
144423,1
19707,0
122903,1
202929,1
210004,1
67694,1
155089,1
6232,1
46530,0
17537,0
22848,0
172163,1
170459,1
199086,1
159091,1
136794,1
21692,0
52156,1
155532,1
198473,1
182920,1
85451,0
110001,0
34975,0
187873,1
91093,0
75236,0
15862,0
187104,1
155611,1
96036,0
63847,0
65068,0
110593,1
131367,1
197124,1
48931,1
11753,0
99538,0
11558,0
202284,1
197551,1
207663,1
123650,1
82128,0
132742,1
48213,0
7966,1
204668,1
204717,1
68476,0
163545,1
162208,1
134204,1
182584,1
20489,1
11209,1
1248,1
51157,0
184083,1
103484,0
205098,1
35032,0
189778,1
149181,1
131805,1
84927,1
149337,1
6484,0
84116,0
121930,1
177596,1
161879,1
35890,0
123750,1
131286,1
195692,1
157746,1
193807,1
203504,1
76405,0
181779,1
143413,1
36407,0
179976,1
114344,0
48490,0
96208,0
83152,0
126863,1
205274,1
163473,1
62304,0
193981,1
78823,0
6883,1
80300,1
126661,1
150816,1
41301,0
157102,1
206017,1
16635,0
209798,1
204585,1
192137,1
5489,0
70757,0
152072,1
139613,1
123783,1
82245,0
22634,0
65629,0
151252,1
50130,0
80134,0
128797,1
146657,1
191502,1
207206,1
107323,0
84873,0
211697,1
172968,1
193591,1
95362,0
179879,1
7702,0
56199,0
73800,0
16045,0
171512,1
25733,0
78767,0
68156,0
10964,0
143046,1
88149,0
79611,1
28078,0
124094,1
3332,0
24930,0
107313,0
107872,1
6000,0
18391,1
43107,0
15894,0
207552,1
7156,0
113656,0
79034,0
148495,1
212629,1
68441,0
193389,1
38504,0
205953,1
133467,1
1800,0
39094,1
140107,1
129880,1
126143,1
124286,1
49742,0
166675,1
86407,0
55235,0
129224,1
145021,1
49066,0
5201,0
168235,1
210431,1
205462,1
184454,1
104077,1
177936,1
203739,1
169902,1
145215,1
109925,1
180006,1
204604,1
16047,0
136957,1
76072,0
200571,1
116592,0
194408,1
172367,1
15558,0
158220,1
205534,1
69996,0
3940,0
208203,1
25011,0
53672,0
211896,1
198653,1
108310,0
109370,0
69357,0
159339,1
184045,1
134013,1
88033,0
41159,0
72875,0
161915,1
169947,1
125860,1
132426,1
58777,1
202729,1
179993,1
98623,1
49727,0
146286,1
161242,1
133462,1
109368,0
53725,0
78307,0
179483,1
53177,0
131056,1
21921,0
9572,0
175779,1
86950,0
185687,1
141164,1
75786,1
108096,0
123167,1
117820,1
181846,1
189558,1
130897,1
127994,1
7056,0
57045,1
18814,1
163357,1
92120,0
37750,0
301,1
11959,0
138380,1
199101,1
131793,1
107534,0
147348,1
92521,0
86915,0
21146,0
139815,1
45555,0
207049,1
105807,0
32042,0
106954,0
62219,0
204158,1
125960,1
91445,0
210910,1
192702,1
164368,1
130510,1
191954,1
194851,1
76922,0
24159,0
107728,0
32170,0
33505,0
47415,0
157553,1
187141,1
97705,0
162855,1
13001,0
18163,0
111599,0
134439,1
208681,1
110296,0
147355,1
125567,1
162055,1
191685,1
61693,0
5473,0
119669,1
135320,1
30564,0
155985,1
72899,0
95791,0
184037,1
197619,1
49656,0
18719,0
43830,0
147282,1
49441,0
99631,0
42244,1
57092,0
11770,0
96259,0
49207,0
83646,0
56165,0
60806,0
89888,1
194529,1
191988,1
83051,1
106001,0
185405,1
148245,1
22428,0
148303,1
87330,0
9351,0
140062,1
82899,0
158104,1
207502,1
113600,0
84803,0
106182,1
17083,0
168372,1
90590,0
79851,0
122004,1
38956,0
101203,0
121552,1
170746,1
48482,0
61959,0
136482,1
77610,0
150087,1
132406,1
10905,0
80498,0
31741,0
212120,1
189395,1
204156,1
14188,0
140032,1
87504,1
37461,0
175808,1
133415,1
13296,0
176942,1
72543,0
127143,1
56102,0
71440,0
33432,0
74018,1
28413,0
174250,1
25725,0
79055,0
175392,1
120852,1
6598,0
206422,1
1590,0
55791,0
5961,0
8875,0
106648,0
190108,1
68528,0
177937,1
142903,1
173480,1
193314,1
16203,0
196301,1
82414,0
146688,1
41944,0
195011,1
121481,1
10178,0
127827,1
157503,1
138820,1
36071,1
134725,1
634,0
150603,1
30471,0
21036,0
60163,0
90961,0
135545,1
71432,0
9573,0
120065,1
185139,1
24011,0
133544,1
147158,1
184406,1
23716,0
35039,0
172012,1
102913,0
76122,0
93512,0
154628,1
5874,0
90340,0
69587,0
70089,0
98360,0
207226,1
30186,0
3578,0
41837,0
3790,0
181471,1
168267,1
82166,1
121002,1
207303,1
174364,1
176391,1
21867,0
35408,0
138502,1
101589,0
30360,0
174565,1
71904,1
197650,1
48727,0
101593,0
80256,0
102108,0
54435,1
44559,0
87358,0
95593,1
47394,1
189276,1
107278,0
143786,1
164907,1
95240,0
164505,1
127221,1
181133,1
55640,0
198954,1
53624,1
177180,1
160834,1
13602,0
106312,0
143483,1
130558,1
97372,1
150323,1
138715,1
130733,1
111747,0
77054,0
158522,1
108695,0
79172,0
208558,1
96668,0
119202,1
119938,1
199670,1
140739,1
24883,0
126524,1
127592,1
191877,1
49332,0
106000,0
91749,0
164476,1
95469,0
164523,1
73459,0
109445,0
130703,1
153462,1
169867,1
140368,1
137506,1
124931,1
75488,0
180918,1
146762,1
56260,0
84400,0
119131,1
169122,1
210002,1
149635,1
162174,1
4388,0
170175,1
134799,1
64988,0
164269,1
197500,1
179070,1
158867,1
35815,0
137728,1
133380,1
28891,0
121846,1
4086,0
101148,0
25193,0
197269,1
1586,0
49803,0
53435,0
161454,1
193004,1
95163,1
198238,1
50176,0
99801,0
151574,1
50864,0
90390,0
153635,1
95799,1
115007,0
36134,0
64235,0
47675,0
33181,0
15720,0
105693,0
207247,1
101517,0
94620,0
46681,0
181283,1
164022,1
70515,0
138698,1
69673,0
85631,1
89138,0
98299,0
92293,0
118039,1
108128,0
42657,0
200436,1
4759,0
208629,1
96115,0
14512,0
92252,0
65520,0
35746,0
92495,0
185179,1
15630,0
114591,0
104145,0
95178,0
138220,1
82756,0
191297,1
196250,1
65765,0
84178,0
164758,1
149258,1
145273,1
194819,1
62329,0
100596,0
211536,1
115989,1
156935,1
73752,0
60377,0
10151,0
184391,1
143600,1
180026,1
131950,1
39092,0
18762,0
71946,0
23496,0
161059,1
144616,1
60500,0
190056,1
69091,0
116643,0
198124,1
152574,1
45173,0
14151,0
211058,1
188953,1
120657,1
149208,1
134750,1
33356,0
158869,1
53362,0
27296,0
71766,0
85307,0
189664,1
122799,1
92562,0
141756,1
51907,0
88068,0
48834,0
73824,0
131815,1
14117,0
83467,0
13247,0
75310,0
30035,1
48746,0
167083,1
72639,0
103128,0
94670,0
147033,1
38555,0
203626,1
212508,1
8279,1
129833,1
191412,1
60906,0
173297,1
107784,0
158968,1
65646,0
174457,1
18359,0
196267,1
123069,1
28255,0
134925,1
79007,0
89094,0
76961,0
193734,1
1645,0
42650,0
81445,0
37422,1
207789,1
56883,1
49363,0
416,0
59089,0
36140,0
128009,1
107799,0
101346,0
156300,1
179042,1
96078,0
81407,0
19513,1
194218,1
43742,0
136490,1
174314,1
38427,0
99168,0
82508,0
109985,0
86696,0
172952,1
56129,0
91283,0
202830,1
132090,1
108882,0
103923,0
155664,1
3430,0
197697,1
102569,0
125487,1
163487,1
87209,0
10923,0
75659,0
102792,0
11056,0
170219,1
190280,1
121398,1
129764,1
120855,1
117084,0
37270,0
85218,0
173662,1
194178,1
188472,1
212850,1
205524,1
165733,1
73433,0
43945,0
168894,1
118821,1
26468,0
94255,0
204438,1
76417,0
183933,1
165626,1
46440,0
187883,1
67761,0
134509,1
127837,1
181223,1
159157,1
12795,0
145967,1
199890,1
159502,1
141597,1
8444,0
162432,1
170538,1
163814,1
186689,1
2212,0
68814,0
124382,1
163063,1
22653,0
202712,1
133128,1
7070,0
53174,0
59184,0
119512,1
150220,1
189468,1
95857,0
64322,0
212536,1
130010,1
98929,0
33833,0
17990,1
210153,1
35208,0
40282,0
147337,1
197723,1
152615,1
186138,1
194130,1
100217,1
103740,0
161200,1
72012,0
48413,0
13038,0
183968,1
170850,1
170435,1
107613,0
81778,0
144578,1
139610,1
43956,1
64534,0
87461,0
9999,0
139696,1
15197,0
161207,1
195697,1
119878,1
40092,0
50434,0
26579,0
207490,1
78266,0
63132,1
148582,1
137808,1
159438,1
100890,1
12382,0
199973,1
6219,0
181778,1
84531,0
100442,1
51817,0
12880,0
22221,0
